voters,mean,std,iterations,true_mean,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct
3.0,0.55,0.02,1000.0,0.550399601364754,0.558,0.008000000000000007,0.007600398635246086,0.56,0.010000000000000009,0.009600398635246088,-0.002
3.0,0.55,0.03,1000.0,0.5533231948878277,0.621,0.07099999999999995,0.06767680511217233,0.598,0.04799999999999993,0.04467680511217231,0.023
3.0,0.55,0.04,1000.0,0.5584696183361306,0.597,0.04699999999999993,0.03853038166386935,0.589,0.038999999999999924,0.030530381663869344,0.008
3.0,0.55,0.07,1000.0,0.5788347324891652,0.617,0.06699999999999995,0.03816526751083482,0.605,0.05499999999999994,0.02616526751083481,0.012
3.0,0.55,0.08,1000.0,0.5862472077293333,0.633,0.08299999999999996,0.046752792270666754,0.621,0.07099999999999995,0.034752792270666744,0.012
3.0,0.55,0.09,1000.0,0.5937931619750162,0.65,0.09999999999999998,0.05620683802498383,0.653,0.10299999999999998,0.05920683802498383,-0.003
3.0,0.55,0.12,1000.0,0.6168295337958563,0.716,0.16599999999999993,0.09917046620414371,0.687,0.137,0.0701704662041438,0.029
3.0,0.55,0.13,1000.0,0.6245010983283475,0.705,0.15499999999999992,0.08049890167165241,0.686,0.136,0.061498901671652506,0.019
3.0,0.55,0.14,1000.0,0.6320664588183131,0.735,0.18499999999999994,0.10293354118168685,0.696,0.1459999999999999,0.06393354118168681,0.039
3.0,0.6,0.02,1000.0,0.6000000381320322,0.665,0.06500000000000006,0.06499996186796786,0.665,0.06500000000000006,0.06499996186796786,0.0
3.0,0.6,0.03,1000.0,0.6000517020621967,0.629,0.029000000000000026,0.02894829793780329,0.623,0.02300000000000002,0.022948297937803286,0.006
3.0,0.6,0.04,1000.0,0.6007511217813778,0.668,0.06800000000000006,0.06724887821862224,0.663,0.06300000000000006,0.06224887821862224,0.005
3.0,0.6,0.07,1000.0,0.6111490891665544,0.685,0.08500000000000008,0.07385091083344564,0.661,0.061000000000000054,0.049850910833445616,0.024
3.0,0.6,0.08,1000.0,0.6166366939012383,0.683,0.08300000000000007,0.06636330609876173,0.69,0.08999999999999997,0.07336330609876163,-0.007
3.0,0.6,0.09,1000.0,0.6226820477205374,0.726,0.126,0.10331795227946261,0.701,0.10099999999999998,0.07831795227946259,0.025
3.0,0.6,0.12,1000.0,0.6426152912431068,0.733,0.133,0.0903847087568932,0.716,0.11599999999999999,0.07338470875689318,0.017
3.0,0.6,0.13,1000.0,0.6494238373590417,0.735,0.135,0.08557616264095824,0.715,0.11499999999999999,0.06557616264095822,0.02
3.0,0.6,0.14,1000.0,0.6561081833122446,0.761,0.16100000000000003,0.10489181668775538,0.748,0.14800000000000002,0.09189181668775537,0.013
3.0,0.65,0.02,1000.0,0.6500000000000071,0.69,0.039999999999999925,0.03999999999999282,0.69,0.039999999999999925,0.03999999999999282,0.0
3.0,0.65,0.03,1000.0,0.6500000526613009,0.727,0.07699999999999996,0.07699994733869908,0.729,0.07899999999999996,0.07899994733869908,-0.002
3.0,0.65,0.04,1000.0,0.6500154866964568,0.694,0.04399999999999993,0.04398451330354314,0.698,0.04799999999999993,0.04798451330354314,-0.004
3.0,0.65,0.07,1000.0,0.6529473169476452,0.731,0.08099999999999996,0.0780526830523548,0.726,0.07599999999999996,0.0730526830523548,0.005
3.0,0.65,0.08,1000.0,0.6558123768511287,0.726,0.07599999999999996,0.07018762314887128,0.705,0.05499999999999994,0.04918762314887126,0.021
3.0,0.65,0.09,1000.0,0.6595686969520812,0.764,0.11399999999999999,0.10443130304791881,0.728,0.07799999999999996,0.06843130304791878,0.036
3.0,0.65,0.12,1000.0,0.6740733103763064,0.78,0.13,0.10592668962369367,0.757,0.10699999999999998,0.08292668962369365,0.023
3.0,0.65,0.13,1000.0,0.6792683218890445,0.79,0.14,0.11073167811095552,0.775,0.125,0.09573167811095551,0.015
3.0,0.65,0.14,1000.0,0.6843538717077884,0.812,0.16200000000000003,0.12764612829221167,0.765,0.11499999999999999,0.08064612829221163,0.047
3.0,0.7,0.02,1000.0,0.7,0.769,0.06900000000000006,0.06900000000000006,0.769,0.06900000000000006,0.06900000000000006,0.0
3.0,0.7,0.03,1000.0,0.7000000000033366,0.766,0.06600000000000006,0.0659999999966634,0.766,0.06600000000000006,0.0659999999966634,0.0
3.0,0.7,0.04,1000.0,0.7000000673659118,0.79,0.09000000000000008,0.08999993263408823,0.79,0.09000000000000008,0.08999993263408823,0.0
3.0,0.7,0.07,1000.0,0.7004890243522323,0.784,0.08400000000000007,0.08351097564776777,0.78,0.08000000000000007,0.07951097564776777,0.004
3.0,0.7,0.08,1000.0,0.7014264121509118,0.801,0.10100000000000009,0.09957358784908821,0.792,0.09200000000000008,0.0905735878490882,0.009
3.0,0.7,0.09,1000.0,0.7030134592133441,0.814,0.11399999999999999,0.11098654078665582,0.812,0.1120000000000001,0.10898654078665593,0.002
3.0,0.7,0.12,1000.0,0.7105354504251368,0.815,0.11499999999999999,0.10446454957486317,0.806,0.1060000000000001,0.09546454957486328,0.009
3.0,0.7,0.13,1000.0,0.7133724283023914,0.837,0.137,0.12362757169760852,0.816,0.11599999999999999,0.1026275716976085,0.021
3.0,0.7,0.14,1000.0,0.7161453463054095,0.844,0.14400000000000002,0.12785465369459048,0.802,0.10200000000000009,0.08585465369459055,0.042
3.0,0.75,0.02,1000.0,0.75,0.844,0.09399999999999997,0.09399999999999997,0.844,0.09399999999999997,0.09399999999999997,0.0
3.0,0.75,0.03,1000.0,0.75,0.835,0.08499999999999996,0.08499999999999996,0.835,0.08499999999999996,0.08499999999999996,0.0
3.0,0.75,0.04,1000.0,0.75,0.851,0.10099999999999998,0.10099999999999998,0.851,0.10099999999999998,0.10099999999999998,0.0
3.0,0.75,0.07,1000.0,0.75,0.848,0.09799999999999998,0.09799999999999998,0.841,0.09099999999999997,0.09099999999999997,0.007
3.0,0.75,0.08,1000.0,0.75,0.853,0.10299999999999998,0.10299999999999998,0.852,0.10199999999999998,0.10199999999999998,0.001
3.0,0.75,0.09,1000.0,0.75,0.846,0.09599999999999997,0.09599999999999997,0.837,0.08699999999999997,0.08699999999999997,0.009
3.0,0.75,0.12,1000.0,0.75,0.853,0.10299999999999998,0.10299999999999998,0.854,0.10399999999999998,0.10399999999999998,-0.001
3.0,0.75,0.13,1000.0,0.75,0.864,0.11399999999999999,0.11399999999999999,0.837,0.08699999999999997,0.08699999999999997,0.027
3.0,0.75,0.14,1000.0,0.75,0.856,0.10599999999999998,0.10599999999999998,0.836,0.08599999999999997,0.08599999999999997,0.02
3.0,0.8,0.02,1000.0,0.8,0.894,0.09399999999999997,0.09399999999999997,0.894,0.09399999999999997,0.09399999999999997,0.0
3.0,0.8,0.03,1000.0,0.7999999999966634,0.896,0.09599999999999997,0.09600000000333664,0.896,0.09599999999999997,0.09600000000333664,0.0
3.0,0.8,0.04,1000.0,0.7999999326340882,0.888,0.08799999999999997,0.08800006736591182,0.888,0.08799999999999997,0.08800006736591182,0.0
3.0,0.8,0.07,1000.0,0.7995109756477677,0.897,0.09699999999999998,0.09748902435223228,0.894,0.09399999999999997,0.09448902435223228,0.003
3.0,0.8,0.08,1000.0,0.7985735878490882,0.913,0.11299999999999999,0.11442641215091187,0.91,0.10999999999999999,0.11142641215091187,0.003
3.0,0.8,0.09,1000.0,0.7969865407866559,0.906,0.10599999999999998,0.10901345921334415,0.896,0.09599999999999997,0.09901345921334415,0.01
3.0,0.8,0.12,1000.0,0.7894645495748632,0.887,0.08699999999999997,0.09753545042513678,0.877,0.07699999999999996,0.08753545042513677,0.01
3.0,0.8,0.13,1000.0,0.7866275716976086,0.911,0.11099999999999999,0.12437242830239148,0.891,0.09099999999999997,0.10437242830239146,0.02
3.0,0.8,0.14,1000.0,0.7838546536945905,0.904,0.10399999999999998,0.12014534630540952,0.872,0.07199999999999995,0.08814534630540949,0.032
3.0,0.85,0.02,1000.0,0.8499999999999929,0.938,0.08799999999999997,0.08800000000000707,0.938,0.08799999999999997,0.08800000000000707,0.0
3.0,0.85,0.03,1000.0,0.8499999473386991,0.936,0.08600000000000008,0.08600005266130095,0.936,0.08600000000000008,0.08600005266130095,0.0
3.0,0.85,0.04,1000.0,0.8499845133035432,0.954,0.10399999999999998,0.10401548669645677,0.954,0.10399999999999998,0.10401548669645677,0.0
3.0,0.85,0.07,1000.0,0.8470526830523548,0.924,0.07400000000000007,0.07694731694764523,0.926,0.07600000000000007,0.07894731694764523,-0.002
3.0,0.85,0.08,1000.0,0.8441876231488713,0.938,0.08799999999999997,0.09381237685112864,0.937,0.08700000000000008,0.09281237685112875,0.001
3.0,0.85,0.09,1000.0,0.8404313030479188,0.934,0.08400000000000007,0.09356869695208125,0.928,0.07800000000000007,0.08756869695208125,0.006
3.0,0.85,0.12,1000.0,0.8259266896236936,0.935,0.08500000000000008,0.10907331037630641,0.929,0.07900000000000007,0.1030733103763064,0.006
3.0,0.85,0.13,1000.0,0.8207316781109555,0.932,0.08200000000000007,0.11126832188904456,0.918,0.06800000000000006,0.09726832188904455,0.014
3.0,0.85,0.14,1000.0,0.8156461282922116,0.91,0.06000000000000005,0.09435387170778842,0.892,0.04200000000000004,0.0763538717077884,0.018
3.0,0.9,0.02,1000.0,0.8999999618679678,0.975,0.07499999999999996,0.07500003813203215,0.975,0.07499999999999996,0.07500003813203215,0.0
3.0,0.9,0.03,1000.0,0.8999482979378033,0.972,0.07199999999999995,0.07205170206219669,0.972,0.07199999999999995,0.07205170206219669,0.0
3.0,0.9,0.04,1000.0,0.8992488782186222,0.971,0.07099999999999995,0.07175112178137777,0.972,0.07199999999999995,0.07275112178137777,-0.001
3.0,0.9,0.07,1000.0,0.8888509108334456,0.958,0.05799999999999994,0.06914908916655438,0.959,0.05899999999999994,0.07014908916655438,-0.001
3.0,0.9,0.08,1000.0,0.8833633060987617,0.962,0.061999999999999944,0.07863669390123829,0.958,0.05799999999999994,0.07463669390123828,0.004
3.0,0.9,0.09,1000.0,0.8773179522794626,0.958,0.05799999999999994,0.08068204772053733,0.953,0.052999999999999936,0.07568204772053733,0.005
3.0,0.9,0.12,1000.0,0.8573847087568932,0.946,0.04599999999999993,0.08861529124310674,0.94,0.039999999999999925,0.08261529124310674,0.006
3.0,0.9,0.13,1000.0,0.8505761626409583,0.94,0.039999999999999925,0.08942383735904169,0.933,0.03300000000000003,0.0824238373590418,0.007
3.0,0.9,0.14,1000.0,0.8438918166877554,0.944,0.04399999999999993,0.10010818331224458,0.932,0.03200000000000003,0.08810818331224468,0.012
3.0,0.95,0.02,1000.0,0.949600398635246,0.996,0.04600000000000004,0.04639960136475396,0.996,0.04600000000000004,0.04639960136475396,0.0
3.0,0.95,0.03,1000.0,0.9466768051121723,0.994,0.04400000000000004,0.04732319488782766,0.993,0.04300000000000004,0.04632319488782766,0.001
3.0,0.95,0.04,1000.0,0.9415303816638694,0.991,0.041000000000000036,0.049469618336130616,0.991,0.041000000000000036,0.049469618336130616,0.0
3.0,0.95,0.07,1000.0,0.9211652675108348,0.977,0.027000000000000024,0.05583473248916515,0.976,0.026000000000000023,0.05483473248916515,0.001
3.0,0.95,0.08,1000.0,0.9137527922706667,0.983,0.03300000000000003,0.06924720772933324,0.981,0.031000000000000028,0.06724720772933324,0.002
3.0,0.95,0.09,1000.0,0.9062068380249838,0.978,0.028000000000000025,0.07179316197501617,0.979,0.029000000000000026,0.07279316197501617,-0.001
3.0,0.95,0.12,1000.0,0.8831704662041437,0.972,0.02200000000000002,0.08882953379585623,0.967,0.017000000000000015,0.08382953379585623,0.005
3.0,0.95,0.13,1000.0,0.8754989016716525,0.972,0.02200000000000002,0.09650109832834752,0.968,0.018000000000000016,0.09250109832834752,0.004
3.0,0.95,0.14,1000.0,0.8679335411816869,0.959,0.009000000000000008,0.0910664588183131,0.948,-0.0020000000000000018,0.08006645881831309,0.011
5.0,0.55,0.02,1000.0,0.550399601364754,0.6,0.04999999999999993,0.04960039863524601,0.594,0.04399999999999993,0.04360039863524601,0.006
5.0,0.55,0.03,1000.0,0.5533231948878277,0.591,0.040999999999999925,0.03767680511217231,0.597,0.04699999999999993,0.04367680511217231,-0.006
5.0,0.55,0.04,1000.0,0.5584696183361306,0.61,0.05999999999999994,0.05153038166386936,0.589,0.038999999999999924,0.030530381663869344,0.021
5.0,0.55,0.07,1000.0,0.5788347324891652,0.665,0.11499999999999999,0.08616526751083486,0.649,0.09899999999999998,0.07016526751083485,0.016
5.0,0.55,0.08,1000.0,0.5862472077293333,0.672,0.122,0.08575279227066679,0.644,0.09399999999999997,0.057752792270666764,0.028
5.0,0.55,0.09,1000.0,0.5937931619750162,0.699,0.1489999999999999,0.10520683802498376,0.675,0.125,0.08120683802498385,0.024
5.0,0.55,0.12,1000.0,0.6168295337958563,0.731,0.18099999999999994,0.11417046620414373,0.719,0.16899999999999993,0.10217046620414372,0.012
5.0,0.55,0.13,1000.0,0.6245010983283475,0.777,0.22699999999999998,0.15249890167165248,0.744,0.19399999999999995,0.11949890167165245,0.033
5.0,0.55,0.14,1000.0,0.6320664588183131,0.758,0.20799999999999996,0.12593354118168687,0.734,0.18399999999999994,0.10193354118168685,0.024
5.0,0.6,0.02,1000.0,0.6000000381320322,0.671,0.07100000000000006,0.07099996186796786,0.674,0.07400000000000007,0.07399996186796787,-0.003
5.0,0.6,0.03,1000.0,0.6000517020621967,0.668,0.06800000000000006,0.06794829793780333,0.668,0.06800000000000006,0.06794829793780333,0.0
5.0,0.6,0.04,1000.0,0.6007511217813778,0.69,0.08999999999999997,0.08924887821862215,0.673,0.07300000000000006,0.07224887821862225,0.017
5.0,0.6,0.07,1000.0,0.6111490891665544,0.701,0.10099999999999998,0.08985091083344554,0.698,0.09799999999999998,0.08685091083344554,0.003
5.0,0.6,0.08,1000.0,0.6166366939012383,0.734,0.134,0.11736330609876167,0.707,0.10699999999999998,0.09036330609876164,0.027
5.0,0.6,0.09,1000.0,0.6226820477205374,0.757,0.15700000000000003,0.13431795227946264,0.721,0.121,0.0983179522794626,0.036
5.0,0.6,0.12,1000.0,0.6426152912431068,0.783,0.18300000000000005,0.14038470875689324,0.753,0.15300000000000002,0.11038470875689321,0.03
5.0,0.6,0.13,1000.0,0.6494238373590417,0.792,0.19200000000000006,0.1425761626409583,0.751,0.15100000000000002,0.10157616264095826,0.041
5.0,0.6,0.14,1000.0,0.6561081833122446,0.83,0.22999999999999998,0.17389181668775533,0.774,0.17400000000000004,0.11789181668775539,0.056
5.0,0.65,0.02,1000.0,0.6500000000000071,0.758,0.10799999999999998,0.10799999999999288,0.758,0.10799999999999998,0.10799999999999288,0.0
5.0,0.65,0.03,1000.0,0.6500000526613009,0.749,0.09899999999999998,0.0989999473386991,0.749,0.09899999999999998,0.0989999473386991,0.0
