voters,mean,std,true_mean,true_std,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
3,0.55,0.04,0.558,0.033,0.59,0.0,0.032,0.583,-0.007
5,0.55,0.04,0.558,0.033,0.636,0.023,0.078,0.641,0.005
7,0.55,0.04,0.558,0.033,0.619,-0.009,0.061,0.635,0.016
9,0.55,0.04,0.558,0.033,0.646,0.014,0.088,0.657,0.011
11,0.55,0.04,0.558,0.033,0.63,-0.008,0.072,0.66,0.03
21,0.55,0.04,0.558,0.033,0.705,0.037,0.147,0.725,0.02
31,0.55,0.04,0.558,0.033,0.752,0.024,0.194,0.778,0.026
41,0.55,0.04,0.558,0.033,0.758,0.003,0.2,0.814,0.056
51,0.55,0.04,0.558,0.033,0.791,0.017,0.233,0.807,0.016
3,0.55,0.16,0.647,0.103,0.721,0.0,0.074,0.749,0.028
5,0.55,0.16,0.647,0.103,0.776,0.028,0.129,0.813,0.037
7,0.55,0.16,0.647,0.103,0.778,0.001,0.131,0.839,0.061
9,0.55,0.16,0.647,0.103,0.828,0.025,0.181,0.866,0.038
11,0.55,0.16,0.647,0.103,0.861,0.017,0.214,0.894,0.033
21,0.55,0.16,0.647,0.103,0.906,0.023,0.259,0.958,0.052
31,0.55,0.16,0.647,0.103,0.958,0.026,0.311,0.987,0.029
41,0.55,0.16,0.647,0.103,0.971,0.007,0.324,0.993,0.022
51,0.55,0.16,0.647,0.103,0.988,0.009,0.341,0.998,0.01
3,0.55,0.64,0.74,0.142,0.826,0.0,0.086,0.861,0.035
5,0.55,0.64,0.74,0.142,0.903,0.039,0.163,0.944,0.041
7,0.55,0.64,0.74,0.142,0.927,0.012,0.187,0.969,0.042
9,0.55,0.64,0.74,0.142,0.954,0.013,0.214,0.98,0.026
11,0.55,0.64,0.74,0.142,0.951,-0.002,0.211,0.99,0.039
21,0.55,0.64,0.74,0.142,0.99,0.02,0.25,1.0,0.01
31,0.55,0.64,0.74,0.142,0.997,0.004,0.257,1.0,0.003
41,0.55,0.64,0.74,0.142,1.0,0.002,0.26,1.0,0.0
51,0.55,0.64,0.74,0.142,1.0,0.0,0.26,1.0,0.0
3,0.75,0.04,0.75,0.04,0.835,0.0,0.085,0.836,0.001
5,0.75,0.04,0.75,0.04,0.893,0.029,0.143,0.894,0.001
7,0.75,0.04,0.75,0.04,0.92,0.014,0.17,0.921,0.001
9,0.75,0.04,0.75,0.04,0.937,0.009,0.187,0.938,0.001
11,0.75,0.04,0.75,0.04,0.974,0.018,0.224,0.976,0.002
21,0.75,0.04,0.75,0.04,0.994,0.01,0.244,0.993,-0.001
31,0.75,0.04,0.75,0.04,0.999,0.003,0.249,1.0,0.001
41,0.75,0.04,0.75,0.04,1.0,0.001,0.25,1.0,0.0
51,0.75,0.04,0.75,0.04,1.0,0.0,0.25,1.0,0.0
3,0.75,0.16,0.75,0.122,0.848,0.0,0.098,0.862,0.014
5,0.75,0.16,0.75,0.122,0.898,0.025,0.148,0.933,0.035
7,0.75,0.16,0.75,0.122,0.918,0.01,0.168,0.958,0.04
9,0.75,0.16,0.75,0.122,0.937,0.01,0.187,0.972,0.035
11,0.75,0.16,0.75,0.122,0.955,0.009,0.205,0.975,0.02
21,0.75,0.16,0.75,0.122,0.991,0.018,0.241,0.997,0.006
31,0.75,0.16,0.75,0.122,1.0,0.005,0.25,1.0,0.0
41,0.75,0.16,0.75,0.122,1.0,0.0,0.25,1.0,0.0
51,0.75,0.16,0.75,0.122,1.0,0.0,0.25,1.0,0.0
3,0.75,0.64,0.75,0.142,0.851,0.0,0.101,0.89,0.039
5,0.75,0.64,0.75,0.142,0.9,0.025,0.15,0.945,0.045
7,0.75,0.64,0.75,0.142,0.919,0.01,0.169,0.956,0.037
9,0.75,0.64,0.75,0.142,0.952,0.016,0.202,0.979,0.027
11,0.75,0.64,0.75,0.142,0.969,0.009,0.219,0.989,0.02
21,0.75,0.64,0.75,0.142,0.993,0.012,0.243,1.0,0.007
31,0.75,0.64,0.75,0.142,1.0,0.004,0.25,1.0,0.0
41,0.75,0.64,0.75,0.142,1.0,0.0,0.25,1.0,0.0
51,0.75,0.64,0.75,0.142,1.0,0.0,0.25,1.0,0.0
3,0.95,0.04,0.942,0.033,0.986,0.0,0.044,0.987,0.001
5,0.95,0.04,0.942,0.033,1.0,0.007,0.058,1.0,0.0
7,0.95,0.04,0.942,0.033,0.999,-0.001,0.057,1.0,0.001
9,0.95,0.04,0.942,0.033,1.0,0.001,0.058,1.0,0.0
11,0.95,0.04,0.942,0.033,1.0,0.0,0.058,1.0,0.0
21,0.95,0.04,0.942,0.033,1.0,0.0,0.058,1.0,0.0
31,0.95,0.04,0.942,0.033,1.0,0.0,0.058,1.0,0.0
41,0.95,0.04,0.942,0.033,1.0,0.0,0.058,1.0,0.0
51,0.95,0.04,0.942,0.033,1.0,0.0,0.058,1.0,0.0
3,0.95,0.16,0.853,0.103,0.948,0.0,0.095,0.956,0.008
5,0.95,0.16,0.853,0.103,0.972,0.012,0.119,0.978,0.006
7,0.95,0.16,0.853,0.103,0.989,0.009,0.136,0.995,0.006
9,0.95,0.16,0.853,0.103,0.994,0.003,0.141,0.997,0.003
11,0.95,0.16,0.853,0.103,0.998,0.002,0.145,0.998,0.0
21,0.95,0.16,0.853,0.103,1.0,0.001,0.147,1.0,0.0
31,0.95,0.16,0.853,0.103,1.0,0.0,0.147,1.0,0.0
41,0.95,0.16,0.853,0.103,1.0,0.0,0.147,1.0,0.0
51,0.95,0.16,0.853,0.103,1.0,0.0,0.147,1.0,0.0
3,0.95,0.64,0.76,0.142,0.84,0.0,0.08,0.904,0.064
5,0.95,0.64,0.76,0.142,0.911,0.036,0.151,0.935,0.024
7,0.95,0.64,0.76,0.142,0.935,0.012,0.175,0.976,0.041
9,0.95,0.64,0.76,0.142,0.957,0.011,0.197,0.991,0.034
11,0.95,0.64,0.76,0.142,0.971,0.007,0.211,0.992,0.021
21,0.95,0.64,0.76,0.142,0.993,0.011,0.233,0.999,0.006
31,0.95,0.64,0.76,0.142,1.0,0.004,0.24,1.0,0.0
41,0.95,0.64,0.76,0.142,1.0,0.0,0.24,1.0,0.0
51,0.95,0.64,0.76,0.142,1.0,0.0,0.24,1.0,0.0
