,voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
18,3,0.55,0.04,"TruncNorm[0.501,0.999]",1000,0.558,0.033,0.583,0.033,0.025,0.59,0.04,0.032,-0.007,0.0,0.0,1.285,,1.012
19,5,0.55,0.04,"TruncNorm[0.501,0.999]",1000,0.558,0.033,0.641,0.091,0.083,0.636,0.086,0.078,0.005,0.023,0.029,0.939,0.793,0.992
20,7,0.55,0.04,"TruncNorm[0.501,0.999]",1000,0.558,0.033,0.635,0.085,0.077,0.619,0.069,0.061,0.016,-0.009,-0.003,0.791,3.0,0.975
21,9,0.55,0.04,"TruncNorm[0.501,0.999]",1000,0.558,0.033,0.657,0.107,0.099,0.646,0.096,0.088,0.011,0.014,0.011,0.888,1.273,0.983
22,11,0.55,0.04,"TruncNorm[0.501,0.999]",1000,0.558,0.033,0.66,0.11,0.102,0.63,0.08,0.072,0.03,-0.008,0.002,0.705,-4.0,0.955
23,21,0.55,0.04,"TruncNorm[0.501,0.999]",1000,0.558,0.033,0.725,0.175,0.167,0.705,0.155,0.147,0.02,0.037,0.032,0.88,1.156,0.972
24,31,0.55,0.04,"TruncNorm[0.501,0.999]",1000,0.558,0.033,0.778,0.228,0.22,0.752,0.202,0.194,0.026,0.024,0.027,0.882,0.889,0.967
25,41,0.55,0.04,"TruncNorm[0.501,0.999]",1000,0.558,0.033,0.814,0.264,0.256,0.758,0.208,0.2,0.056,0.003,0.018,0.781,0.167,0.931
26,51,0.55,0.04,"TruncNorm[0.501,0.999]",1000,0.558,0.033,0.807,0.257,0.249,0.791,0.241,0.233,0.016,0.017,-0.003,0.936,-5.667,0.98
36,3,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.647,0.103,0.749,0.199,0.102,0.721,0.171,0.074,0.028,0.0,0.0,0.727,,0.963
37,5,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.647,0.103,0.813,0.263,0.166,0.776,0.226,0.129,0.037,0.028,0.032,0.778,0.875,0.954
38,7,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.647,0.103,0.839,0.289,0.192,0.778,0.228,0.131,0.061,0.001,0.013,0.683,0.077,0.927
39,9,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.647,0.103,0.866,0.316,0.219,0.828,0.278,0.181,0.038,0.025,0.014,0.827,1.786,0.956
40,11,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.647,0.103,0.894,0.344,0.247,0.861,0.311,0.214,0.033,0.017,0.014,0.867,1.214,0.963
41,21,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.647,0.103,0.958,0.408,0.311,0.906,0.356,0.259,0.052,0.023,0.032,0.833,0.719,0.946
42,31,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.647,0.103,0.987,0.437,0.34,0.958,0.408,0.311,0.029,0.026,0.015,0.915,1.733,0.971
43,41,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.647,0.103,0.993,0.443,0.346,0.971,0.421,0.324,0.022,0.007,0.003,0.936,2.333,0.978
44,51,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.647,0.103,0.998,0.448,0.351,0.988,0.438,0.341,0.01,0.009,0.003,0.972,3.0,0.99
54,3,0.55,0.64,"TruncNorm[0.501,0.999]",1000,0.74,0.142,0.861,0.311,0.121,0.826,0.276,0.086,0.035,0.0,0.0,0.71,,0.959
55,5,0.55,0.64,"TruncNorm[0.501,0.999]",1000,0.74,0.142,0.944,0.394,0.204,0.903,0.353,0.163,0.041,0.039,0.041,0.799,0.951,0.957
56,7,0.55,0.64,"TruncNorm[0.501,0.999]",1000,0.74,0.142,0.969,0.419,0.229,0.927,0.377,0.187,0.042,0.012,0.013,0.816,0.923,0.957
57,9,0.55,0.64,"TruncNorm[0.501,0.999]",1000,0.74,0.142,0.98,0.43,0.24,0.954,0.404,0.214,0.026,0.013,0.006,0.892,2.167,0.973
58,11,0.55,0.64,"TruncNorm[0.501,0.999]",1000,0.74,0.142,0.99,0.44,0.25,0.951,0.401,0.211,0.039,-0.002,0.005,0.844,-0.4,0.961
59,21,0.55,0.64,"TruncNorm[0.501,0.999]",1000,0.74,0.142,1.0,0.45,0.26,0.99,0.44,0.25,0.01,0.02,0.005,0.962,4.0,0.99
60,31,0.55,0.64,"TruncNorm[0.501,0.999]",1000,0.74,0.142,1.0,0.45,0.26,0.997,0.447,0.257,0.003,0.004,0.0,0.988,inf,0.997
61,41,0.55,0.64,"TruncNorm[0.501,0.999]",1000,0.74,0.142,1.0,0.45,0.26,1.0,0.45,0.26,0.0,0.002,0.0,1.0,inf,1.0
62,51,0.55,0.64,"TruncNorm[0.501,0.999]",1000,0.74,0.142,1.0,0.45,0.26,1.0,0.45,0.26,0.0,0.0,0.0,1.0,,1.0
342,3,0.75,0.04,"TruncNorm[0.501,0.999]",1000,0.75,0.04,0.836,0.086,0.086,0.835,0.085,0.085,0.001,0.0,0.0,0.988,,0.999
343,5,0.75,0.04,"TruncNorm[0.501,0.999]",1000,0.75,0.04,0.894,0.144,0.144,0.893,0.143,0.143,0.001,0.029,0.029,0.993,1.0,0.999
344,7,0.75,0.04,"TruncNorm[0.501,0.999]",1000,0.75,0.04,0.921,0.171,0.171,0.92,0.17,0.17,0.001,0.014,0.014,0.994,1.0,0.999
345,9,0.75,0.04,"TruncNorm[0.501,0.999]",1000,0.75,0.04,0.938,0.188,0.188,0.937,0.187,0.187,0.001,0.009,0.008,0.995,1.125,0.999
346,11,0.75,0.04,"TruncNorm[0.501,0.999]",1000,0.75,0.04,0.976,0.226,0.226,0.974,0.224,0.224,0.002,0.018,0.019,0.991,0.947,0.998
347,21,0.75,0.04,"TruncNorm[0.501,0.999]",1000,0.75,0.04,0.993,0.243,0.243,0.994,0.244,0.244,-0.001,0.01,0.009,1.004,1.111,1.001
348,31,0.75,0.04,"TruncNorm[0.501,0.999]",1000,0.75,0.04,1.0,0.25,0.25,0.999,0.249,0.249,0.001,0.003,0.004,0.996,0.75,0.999
349,41,0.75,0.04,"TruncNorm[0.501,0.999]",1000,0.75,0.04,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.001,0.0,1.0,inf,1.0
350,51,0.75,0.04,"TruncNorm[0.501,0.999]",1000,0.75,0.04,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,1.0,,1.0
360,3,0.75,0.16,"TruncNorm[0.501,0.999]",1000,0.75,0.122,0.862,0.112,0.112,0.848,0.098,0.098,0.014,0.0,0.0,0.875,,0.984
361,5,0.75,0.16,"TruncNorm[0.501,0.999]",1000,0.75,0.122,0.933,0.183,0.183,0.898,0.148,0.148,0.035,0.025,0.036,0.809,0.694,0.962
362,7,0.75,0.16,"TruncNorm[0.501,0.999]",1000,0.75,0.122,0.958,0.208,0.208,0.918,0.168,0.168,0.04,0.01,0.012,0.808,0.833,0.958
363,9,0.75,0.16,"TruncNorm[0.501,0.999]",1000,0.75,0.122,0.972,0.222,0.222,0.937,0.187,0.187,0.035,0.01,0.007,0.842,1.429,0.964
364,11,0.75,0.16,"TruncNorm[0.501,0.999]",1000,0.75,0.122,0.975,0.225,0.225,0.955,0.205,0.205,0.02,0.009,0.002,0.911,4.5,0.979
365,21,0.75,0.16,"TruncNorm[0.501,0.999]",1000,0.75,0.122,0.997,0.247,0.247,0.991,0.241,0.241,0.006,0.018,0.011,0.976,1.636,0.994
366,31,0.75,0.16,"TruncNorm[0.501,0.999]",1000,0.75,0.122,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.005,0.002,1.0,2.5,1.0
367,41,0.75,0.16,"TruncNorm[0.501,0.999]",1000,0.75,0.122,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,1.0,,1.0
368,51,0.75,0.16,"TruncNorm[0.501,0.999]",1000,0.75,0.122,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,1.0,,1.0
378,3,0.75,0.64,"TruncNorm[0.501,0.999]",1000,0.75,0.142,0.89,0.14,0.14,0.851,0.101,0.101,0.039,0.0,0.0,0.721,,0.956
379,5,0.75,0.64,"TruncNorm[0.501,0.999]",1000,0.75,0.142,0.945,0.195,0.195,0.9,0.15,0.15,0.045,0.025,0.027,0.769,0.926,0.952
380,7,0.75,0.64,"TruncNorm[0.501,0.999]",1000,0.75,0.142,0.956,0.206,0.206,0.919,0.169,0.169,0.037,0.01,0.006,0.82,1.667,0.961
381,9,0.75,0.64,"TruncNorm[0.501,0.999]",1000,0.75,0.142,0.979,0.229,0.229,0.952,0.202,0.202,0.027,0.016,0.012,0.882,1.333,0.972
382,11,0.75,0.64,"TruncNorm[0.501,0.999]",1000,0.75,0.142,0.989,0.239,0.239,0.969,0.219,0.219,0.02,0.009,0.005,0.916,1.8,0.98
383,21,0.75,0.64,"TruncNorm[0.501,0.999]",1000,0.75,0.142,1.0,0.25,0.25,0.993,0.243,0.243,0.007,0.012,0.006,0.972,2.0,0.993
384,31,0.75,0.64,"TruncNorm[0.501,0.999]",1000,0.75,0.142,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.004,0.0,1.0,inf,1.0
385,41,0.75,0.64,"TruncNorm[0.501,0.999]",1000,0.75,0.142,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,1.0,,1.0
386,51,0.75,0.64,"TruncNorm[0.501,0.999]",1000,0.75,0.142,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,1.0,,1.0
666,3,0.95,0.04,"TruncNorm[0.501,0.999]",1000,0.942,0.033,0.987,0.037,0.045,0.986,0.036,0.044,0.001,0.0,0.0,0.978,,0.999
667,5,0.95,0.04,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.007,0.007,1.0,1.0,1.0
668,7,0.95,0.04,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,0.999,0.049,0.057,0.001,-0.001,0.0,0.983,-inf,0.999
669,9,0.95,0.04,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.001,0.0,1.0,inf,1.0
670,11,0.95,0.04,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
671,21,0.95,0.04,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
672,31,0.95,0.04,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
673,41,0.95,0.04,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
674,51,0.95,0.04,"TruncNorm[0.501,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
684,3,0.95,0.16,"TruncNorm[0.501,0.999]",1000,0.853,0.103,0.956,0.006,0.103,0.948,-0.002,0.095,0.008,0.0,0.0,0.922,,0.992
685,5,0.95,0.16,"TruncNorm[0.501,0.999]",1000,0.853,0.103,0.978,0.028,0.125,0.972,0.022,0.119,0.006,0.012,0.011,0.952,1.091,0.994
686,7,0.95,0.16,"TruncNorm[0.501,0.999]",1000,0.853,0.103,0.995,0.045,0.142,0.989,0.039,0.136,0.006,0.009,0.009,0.958,1.0,0.994
687,9,0.95,0.16,"TruncNorm[0.501,0.999]",1000,0.853,0.103,0.997,0.047,0.144,0.994,0.044,0.141,0.003,0.003,0.001,0.979,3.0,0.997
688,11,0.95,0.16,"TruncNorm[0.501,0.999]",1000,0.853,0.103,0.998,0.048,0.145,0.998,0.048,0.145,0.0,0.002,0.001,1.0,2.0,1.0
689,21,0.95,0.16,"TruncNorm[0.501,0.999]",1000,0.853,0.103,1.0,0.05,0.147,1.0,0.05,0.147,0.0,0.001,0.001,1.0,1.0,1.0
690,31,0.95,0.16,"TruncNorm[0.501,0.999]",1000,0.853,0.103,1.0,0.05,0.147,1.0,0.05,0.147,0.0,0.0,0.0,1.0,,1.0
691,41,0.95,0.16,"TruncNorm[0.501,0.999]",1000,0.853,0.103,1.0,0.05,0.147,1.0,0.05,0.147,0.0,0.0,0.0,1.0,,1.0
692,51,0.95,0.16,"TruncNorm[0.501,0.999]",1000,0.853,0.103,1.0,0.05,0.147,1.0,0.05,0.147,0.0,0.0,0.0,1.0,,1.0
702,3,0.95,0.64,"TruncNorm[0.501,0.999]",1000,0.76,0.142,0.904,-0.046,0.144,0.84,-0.11,0.08,0.064,0.0,0.0,0.556,,0.929
703,5,0.95,0.64,"TruncNorm[0.501,0.999]",1000,0.76,0.142,0.935,-0.015,0.175,0.911,-0.039,0.151,0.024,0.036,0.016,0.863,2.25,0.974
704,7,0.95,0.64,"TruncNorm[0.501,0.999]",1000,0.76,0.142,0.976,0.026,0.216,0.935,-0.015,0.175,0.041,0.012,0.02,0.81,0.6,0.958
705,9,0.95,0.64,"TruncNorm[0.501,0.999]",1000,0.76,0.142,0.991,0.041,0.231,0.957,0.007,0.197,0.034,0.011,0.008,0.853,1.375,0.966
706,11,0.95,0.64,"TruncNorm[0.501,0.999]",1000,0.76,0.142,0.992,0.042,0.232,0.971,0.021,0.211,0.021,0.007,0.001,0.91,7.0,0.979
707,21,0.95,0.64,"TruncNorm[0.501,0.999]",1000,0.76,0.142,0.999,0.049,0.239,0.993,0.043,0.233,0.006,0.011,0.004,0.975,2.75,0.994
708,31,0.95,0.64,"TruncNorm[0.501,0.999]",1000,0.76,0.142,1.0,0.05,0.24,1.0,0.05,0.24,0.0,0.004,0.001,1.0,4.0,1.0
709,41,0.95,0.64,"TruncNorm[0.501,0.999]",1000,0.76,0.142,1.0,0.05,0.24,1.0,0.05,0.24,0.0,0.0,0.0,1.0,,1.0
710,51,0.95,0.64,"TruncNorm[0.501,0.999]",1000,0.76,0.142,1.0,0.05,0.24,1.0,0.05,0.24,0.0,0.0,0.0,1.0,,1.0
