voters,distribution,mean,std,iterations,true_mean,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct
31,uniform,0.55,0.0259807621135331,1000,0.55,0.726,0.1759999999999999,0.1759999999999999,0.721,0.1709999999999999,0.1709999999999999,0.005
41,uniform,0.55,0.0259807621135331,1000,0.55,0.761,0.2109999999999999,0.2109999999999999,0.751,0.2009999999999999,0.2009999999999999,0.01
51,uniform,0.55,0.0259807621135331,1000,0.55,0.788,0.238,0.238,0.773,0.2229999999999999,0.2229999999999999,0.015
3,uniform,0.6,0.0548482755730144,1000,0.6,0.658,0.058,0.058,0.665,0.065,0.065,-0.007
5,uniform,0.6,0.0548482755730144,1000,0.6,0.676,0.076,0.076,0.661,0.061,0.061,0.015
7,uniform,0.6,0.0548482755730144,1000,0.6,0.72,0.12,0.12,0.695,0.0949999999999999,0.0949999999999999,0.025
9,uniform,0.6,0.0548482755730144,1000,0.6,0.75,0.15,0.15,0.737,0.137,0.137,0.013
11,uniform,0.6,0.0548482755730144,1000,0.6,0.784,0.184,0.184,0.747,0.147,0.147,0.037
21,uniform,0.6,0.0548482755730144,1000,0.6,0.856,0.256,0.256,0.826,0.2259999999999999,0.2259999999999999,0.03
31,uniform,0.6,0.0548482755730144,1000,0.6,0.909,0.309,0.309,0.866,0.266,0.266,0.043
41,uniform,0.6,0.0548482755730144,1000,0.6,0.929,0.329,0.329,0.91,0.31,0.31,0.019
51,uniform,0.6,0.0548482755730144,1000,0.6,0.947,0.347,0.347,0.913,0.313,0.313,0.034
3,uniform,0.66,0.0837157890324957,1000,0.66,0.767,0.1069999999999999,0.1069999999999999,0.738,0.0779999999999999,0.0779999999999999,0.029
5,uniform,0.66,0.0837157890324957,1000,0.66,0.794,0.134,0.134,0.773,0.1129999999999999,0.1129999999999999,0.021
7,uniform,0.66,0.0837157890324957,1000,0.66,0.836,0.1759999999999999,0.1759999999999999,0.803,0.143,0.143,0.033
9,uniform,0.66,0.0837157890324957,1000,0.66,0.872,0.2119999999999999,0.2119999999999999,0.848,0.1879999999999999,0.1879999999999999,0.024
11,uniform,0.66,0.0837157890324957,1000,0.66,0.89,0.2299999999999999,0.2299999999999999,0.86,0.1999999999999999,0.1999999999999999,0.03
21,uniform,0.66,0.0837157890324957,1000,0.66,0.962,0.3019999999999999,0.3019999999999999,0.946,0.2859999999999999,0.2859999999999999,0.016
31,uniform,0.66,0.0837157890324957,1000,0.66,0.984,0.3239999999999999,0.3239999999999999,0.974,0.3139999999999999,0.3139999999999999,0.01
41,uniform,0.66,0.0837157890324957,1000,0.66,0.994,0.3339999999999999,0.3339999999999999,0.984,0.3239999999999999,0.3239999999999999,0.01
51,uniform,0.66,0.0837157890324957,1000,0.66,0.997,0.3369999999999999,0.3369999999999999,0.991,0.3309999999999999,0.3309999999999999,0.006
3,uniform,0.7,0.112583302491977,1000,0.7,0.817,0.1169999999999999,0.1169999999999999,0.781,0.081,0.081,0.036
5,uniform,0.7,0.112583302491977,1000,0.7,0.876,0.176,0.176,0.842,0.142,0.142,0.034
7,uniform,0.7,0.112583302491977,1000,0.7,0.912,0.212,0.212,0.876,0.176,0.176,0.036
9,uniform,0.7,0.112583302491977,1000,0.7,0.938,0.238,0.238,0.909,0.209,0.209,0.029
11,uniform,0.7,0.112583302491977,1000,0.7,0.954,0.254,0.254,0.92,0.22,0.22,0.034
21,uniform,0.7,0.112583302491977,1000,0.7,0.989,0.289,0.289,0.974,0.274,0.274,0.015
31,uniform,0.7,0.112583302491977,1000,0.7,0.999,0.299,0.299,0.992,0.292,0.292,0.007
41,uniform,0.7,0.112583302491977,1000,0.7,0.999,0.299,0.299,0.996,0.296,0.296,0.003
51,uniform,0.7,0.112583302491977,1000,0.7,1.0,0.3,0.3,0.998,0.298,0.298,0.002
3,uniform,0.75,0.1385640646055101,1000,0.75,0.89,0.14,0.14,0.858,0.1079999999999999,0.1079999999999999,0.032
5,uniform,0.75,0.1385640646055101,1000,0.75,0.939,0.1889999999999999,0.1889999999999999,0.905,0.155,0.155,0.034
7,uniform,0.75,0.1385640646055101,1000,0.75,0.966,0.2159999999999999,0.2159999999999999,0.93,0.18,0.18,0.036
3,uniform,0.55,0.0259807621135331,1000,0.55,0.584,0.0339999999999999,0.0339999999999999,0.579,0.0289999999999999,0.0289999999999999,0.005
5,uniform,0.55,0.0259807621135331,1000,0.55,0.623,0.0729999999999999,0.0729999999999999,0.612,0.0619999999999999,0.0619999999999999,0.011
7,uniform,0.55,0.0259807621135331,1000,0.55,0.603,0.0529999999999999,0.0529999999999999,0.592,0.0419999999999999,0.0419999999999999,0.011
9,uniform,0.55,0.0259807621135331,1000,0.55,0.633,0.0829999999999999,0.0829999999999999,0.641,0.0909999999999999,0.0909999999999999,-0.008
11,uniform,0.55,0.0259807621135331,1000,0.55,0.648,0.0979999999999999,0.0979999999999999,0.656,0.1059999999999999,0.1059999999999999,-0.008
21,uniform,0.55,0.0259807621135331,1000,0.55,0.711,0.1609999999999999,0.1609999999999999,0.691,0.1409999999999999,0.1409999999999999,0.02
31,uniform,0.55,0.0259807621135331,1000,0.55,0.731,0.1809999999999999,0.1809999999999999,0.721,0.1709999999999999,0.1709999999999999,0.01
41,uniform,0.55,0.0259807621135331,1000,0.55,0.754,0.2039999999999999,0.2039999999999999,0.742,0.1919999999999999,0.1919999999999999,0.012
51,uniform,0.55,0.0259807621135331,1000,0.55,0.806,0.256,0.256,0.77,0.2199999999999999,0.2199999999999999,0.036
3,uniform,0.6,0.0548482755730144,1000,0.6,0.664,0.064,0.064,0.643,0.043,0.043,0.021
5,uniform,0.6,0.0548482755730144,1000,0.6,0.709,0.1089999999999999,0.1089999999999999,0.695,0.0949999999999999,0.0949999999999999,0.014
7,uniform,0.6,0.0548482755730144,1000,0.6,0.717,0.1169999999999999,0.1169999999999999,0.724,0.124,0.124,-0.007
9,uniform,0.6,0.0548482755730144,1000,0.6,0.761,0.161,0.161,0.736,0.136,0.136,0.025
11,uniform,0.6,0.0548482755730144,1000,0.6,0.76,0.16,0.16,0.731,0.131,0.131,0.029
21,uniform,0.6,0.0548482755730144,1000,0.6,0.851,0.251,0.251,0.836,0.236,0.236,0.015
31,uniform,0.6,0.0548482755730144,1000,0.6,0.892,0.292,0.292,0.866,0.266,0.266,0.026
41,uniform,0.6,0.0548482755730144,1000,0.6,0.929,0.329,0.329,0.904,0.304,0.304,0.025
51,uniform,0.6,0.0548482755730144,1000,0.6,0.937,0.3370000000000001,0.3370000000000001,0.898,0.298,0.298,0.039
3,uniform,0.66,0.0837157890324957,1000,0.66,0.742,0.0819999999999999,0.0819999999999999,0.723,0.0629999999999999,0.0629999999999999,0.019
5,uniform,0.66,0.0837157890324957,1000,0.66,0.793,0.133,0.133,0.791,0.131,0.131,0.002
7,uniform,0.66,0.0837157890324957,1000,0.66,0.842,0.1819999999999999,0.1819999999999999,0.81,0.15,0.15,0.032
9,uniform,0.66,0.0837157890324957,1000,0.66,0.881,0.2209999999999999,0.2209999999999999,0.86,0.1999999999999999,0.1999999999999999,0.021
11,uniform,0.66,0.0837157890324957,1000,0.66,0.891,0.2309999999999999,0.2309999999999999,0.864,0.2039999999999999,0.2039999999999999,0.027
21,uniform,0.66,0.0837157890324957,1000,0.66,0.958,0.2979999999999999,0.2979999999999999,0.938,0.2779999999999999,0.2779999999999999,0.02
31,uniform,0.66,0.0837157890324957,1000,0.66,0.978,0.3179999999999999,0.3179999999999999,0.963,0.3029999999999999,0.3029999999999999,0.015
41,uniform,0.66,0.0837157890324957,1000,0.66,0.996,0.3359999999999999,0.3359999999999999,0.99,0.3299999999999999,0.3299999999999999,0.006
51,uniform,0.66,0.0837157890324957,1000,0.66,0.998,0.3379999999999999,0.3379999999999999,0.99,0.3299999999999999,0.3299999999999999,0.008
3,uniform,0.7,0.112583302491977,1000,0.7,0.82,0.12,0.12,0.805,0.1050000000000001,0.1050000000000001,0.015
5,uniform,0.7,0.112583302491977,1000,0.7,0.874,0.174,0.174,0.841,0.141,0.141,0.033
7,uniform,0.7,0.112583302491977,1000,0.7,0.929,0.2290000000000001,0.2290000000000001,0.881,0.181,0.181,0.048
9,uniform,0.7,0.112583302491977,1000,0.7,0.942,0.242,0.242,0.898,0.198,0.198,0.044
11,uniform,0.7,0.112583302491977,1000,0.7,0.956,0.256,0.256,0.931,0.2310000000000001,0.2310000000000001,0.025
21,uniform,0.7,0.112583302491977,1000,0.7,0.986,0.286,0.286,0.966,0.266,0.266,0.02
31,uniform,0.7,0.112583302491977,1000,0.7,0.999,0.299,0.299,0.992,0.292,0.292,0.007
41,uniform,0.7,0.112583302491977,1000,0.7,0.999,0.299,0.299,0.997,0.297,0.297,0.002
51,uniform,0.7,0.112583302491977,1000,0.7,1.0,0.3,0.3,0.999,0.299,0.299,0.001
3,uniform,0.75,0.1385640646055101,1000,0.75,0.892,0.142,0.142,0.848,0.0979999999999999,0.0979999999999999,0.044
5,uniform,0.75,0.1385640646055101,1000,0.75,0.934,0.184,0.184,0.886,0.136,0.136,0.048
7,uniform,0.75,0.1385640646055101,1000,0.75,0.953,0.2029999999999999,0.2029999999999999,0.922,0.172,0.172,0.031
9,uniform,0.75,0.1385640646055101,1000,0.75,0.992,0.242,0.242,0.954,0.2039999999999999,0.2039999999999999,0.038
11,uniform,0.75,0.1385640646055101,1000,0.75,0.979,0.2289999999999999,0.2289999999999999,0.96,0.2099999999999999,0.2099999999999999,0.019
21,uniform,0.75,0.1385640646055101,1000,0.75,1.0,0.25,0.25,0.994,0.244,0.244,0.006
31,uniform,0.75,0.1385640646055101,1000,0.75,1.0,0.25,0.25,0.999,0.249,0.249,0.001
41,uniform,0.75,0.1385640646055101,1000,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.0
51,uniform,0.75,0.1385640646055101,1000,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.0
3,uniform,0.65,0.0288675134594812,1000,0.65,0.71,0.0599999999999999,0.0599999999999999,0.71,0.0599999999999999,0.0599999999999999,0.0
5,uniform,0.65,0.0288675134594812,1000,0.65,0.755,0.1049999999999999,0.1049999999999999,0.755,0.1049999999999999,0.1049999999999999,0.0
7,uniform,0.65,0.0288675134594812,1000,0.65,0.797,0.147,0.147,0.799,0.149,0.149,-0.002
9,uniform,0.65,0.0288675134594812,1000,0.65,0.821,0.1709999999999999,0.1709999999999999,0.82,0.1699999999999999,0.1699999999999999,0.001
11,uniform,0.65,0.0288675134594812,1000,0.65,0.831,0.1809999999999999,0.1809999999999999,0.824,0.1739999999999999,0.1739999999999999,0.007
21,uniform,0.65,0.0288675134594812,1000,0.65,0.93,0.28,0.28,0.929,0.279,0.279,0.001
31,uniform,0.65,0.0288675134594812,1000,0.65,0.955,0.3049999999999999,0.3049999999999999,0.954,0.3039999999999999,0.3039999999999999,0.001
41,uniform,0.65,0.0288675134594812,1000,0.65,0.984,0.3339999999999999,0.3339999999999999,0.984,0.3339999999999999,0.3339999999999999,0.0
51,uniform,0.65,0.0288675134594812,1000,0.65,0.987,0.3369999999999999,0.3369999999999999,0.986,0.3359999999999999,0.3359999999999999,0.001
3,uniform,0.75,0.0866025403784438,1000,0.75,0.834,0.0839999999999999,0.0839999999999999,0.836,0.0859999999999999,0.0859999999999999,-0.002
5,uniform,0.75,0.0866025403784438,1000,0.75,0.923,0.173,0.173,0.913,0.163,0.163,0.01
7,uniform,0.75,0.0866025403784438,1000,0.75,0.94,0.1899999999999999,0.1899999999999999,0.926,0.176,0.176,0.014
9,uniform,0.75,0.0866025403784438,1000,0.75,0.966,0.2159999999999999,0.2159999999999999,0.957,0.2069999999999999,0.2069999999999999,0.009
11,uniform,0.75,0.0866025403784438,1000,0.75,0.977,0.2269999999999999,0.2269999999999999,0.969,0.2189999999999999,0.2189999999999999,0.008
21,uniform,0.75,0.0866025403784438,1000,0.75,1.0,0.25,0.25,0.997,0.247,0.247,0.003
31,uniform,0.75,0.0866025403784438,1000,0.75,1.0,0.25,0.25,0.999,0.249,0.249,0.001
41,uniform,0.75,0.0866025403784438,1000,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.0
51,uniform,0.75,0.0866025403784438,1000,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.0
3,uniform,0.8,0.112583302491977,1000,0.8,0.927,0.127,0.127,0.897,0.0969999999999999,0.0969999999999999,0.03
5,uniform,0.8,0.112583302491977,1000,0.8,0.953,0.1529999999999999,0.1529999999999999,0.942,0.1419999999999999,0.1419999999999999,0.011
7,uniform,0.8,0.112583302491977,1000,0.8,0.99,0.1899999999999999,0.1899999999999999,0.975,0.1749999999999999,0.1749999999999999,0.015
9,uniform,0.8,0.112583302491977,1000,0.8,0.988,0.1879999999999999,0.1879999999999999,0.977,0.1769999999999999,0.1769999999999999,0.011
11,uniform,0.8,0.112583302491977,1000,0.8,0.999,0.1989999999999999,0.1989999999999999,0.987,0.1869999999999999,0.1869999999999999,0.012
21,uniform,0.8,0.112583302491977,1000,0.8,1.0,0.1999999999999999,0.1999999999999999,1.0,0.1999999999999999,0.1999999999999999,0.0
31,uniform,0.8,0.112583302491977,1000,0.8,1.0,0.1999999999999999,0.1999999999999999,1.0,0.1999999999999999,0.1999999999999999,0.0
41,uniform,0.8,0.112583302491977,1000,0.8,1.0,0.1999999999999999,0.1999999999999999,1.0,0.1999999999999999,0.1999999999999999,0.0
51,uniform,0.8,0.112583302491977,1000,0.8,1.0,0.1999999999999999,0.1999999999999999,1.0,0.1999999999999999,0.1999999999999999,0.0
3,uniform,0.75,0.0288675134594813,1000,0.75,0.831,0.0809999999999999,0.0809999999999999,0.831,0.0809999999999999,0.0809999999999999,0.0
5,uniform,0.75,0.0288675134594813,1000,0.75,0.902,0.152,0.152,0.902,0.152,0.152,0.0
7,uniform,0.75,0.0288675134594813,1000,0.75,0.937,0.187,0.187,0.938,0.1879999999999999,0.1879999999999999,-0.001
9,uniform,0.75,0.0288675134594813,1000,0.75,0.955,0.2049999999999999,0.2049999999999999,0.955,0.2049999999999999,0.2049999999999999,0.0
11,uniform,0.75,0.0288675134594813,1000,0.75,0.957,0.2069999999999999,0.2069999999999999,0.957,0.2069999999999999,0.2069999999999999,0.0
21,uniform,0.75,0.0288675134594813,1000,0.75,0.995,0.245,0.245,0.995,0.245,0.245,0.0
31,uniform,0.75,0.0288675134594813,1000,0.75,0.999,0.249,0.249,0.998,0.248,0.248,0.001
41,uniform,0.75,0.0288675134594813,1000,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.0
51,uniform,0.75,0.0288675134594813,1000,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.0
3,uniform,0.84,0.0837157890324957,1000,0.84,0.935,0.095,0.095,0.932,0.092,0.092,0.003
5,uniform,0.84,0.0837157890324957,1000,0.84,0.979,0.139,0.139,0.973,0.133,0.133,0.006
7,uniform,0.84,0.0837157890324957,1000,0.84,0.992,0.152,0.152,0.987,0.147,0.147,0.005
9,uniform,0.84,0.0837157890324957,1000,0.84,0.998,0.158,0.158,0.994,0.154,0.154,0.004
11,uniform,0.84,0.0837157890324957,1000,0.84,0.998,0.158,0.158,0.996,0.156,0.156,0.002
21,uniform,0.84,0.0837157890324957,1000,0.84,1.0,0.16,0.16,0.999,0.159,0.159,0.001
31,uniform,0.84,0.0837157890324957,1000,0.84,1.0,0.16,0.16,1.0,0.16,0.16,0.0
41,uniform,0.84,0.0837157890324957,1000,0.84,1.0,0.16,0.16,1.0,0.16,0.16,0.0
51,uniform,0.84,0.0837157890324957,1000,0.84,1.0,0.16,0.16,1.0,0.16,0.16,0.0
3,uniform,0.85,0.0288675134594812,1000,0.85,0.937,0.087,0.087,0.937,0.087,0.087,0.0
5,uniform,0.85,0.0288675134594812,1000,0.85,0.97,0.12,0.12,0.97,0.12,0.12,0.0
7,uniform,0.85,0.0288675134594812,1000,0.85,0.981,0.131,0.131,0.981,0.131,0.131,0.0
9,uniform,0.85,0.0288675134594812,1000,0.85,0.995,0.145,0.145,0.995,0.145,0.145,0.0
11,uniform,0.85,0.0288675134594812,1000,0.85,0.998,0.148,0.148,0.998,0.148,0.148,0.0
21,uniform,0.85,0.0288675134594812,1000,0.85,1.0,0.15,0.15,1.0,0.15,0.15,0.0
31,uniform,0.85,0.0288675134594812,1000,0.85,1.0,0.15,0.15,1.0,0.15,0.15,0.0
41,uniform,0.85,0.0288675134594812,1000,0.85,1.0,0.15,0.15,1.0,0.15,0.15,0.0
51,uniform,0.85,0.0288675134594812,1000,0.85,1.0,0.15,0.15,1.0,0.15,0.15,0.0
3,uniform,0.9,0.0548482755730144,1000,0.9,0.97,0.0699999999999999,0.0699999999999999,0.967,0.0669999999999999,0.0669999999999999,0.003
5,uniform,0.9,0.0548482755730144,1000,0.9,0.994,0.0939999999999999,0.0939999999999999,0.991,0.0909999999999999,0.0909999999999999,0.003
7,uniform,0.9,0.0548482755730144,1000,0.9,0.999,0.0989999999999999,0.0989999999999999,0.999,0.0989999999999999,0.0989999999999999,0.0
9,uniform,0.9,0.0548482755730144,1000,0.9,0.999,0.0989999999999999,0.0989999999999999,0.998,0.0979999999999999,0.0979999999999999,0.001
11,uniform,0.9,0.0548482755730144,1000,0.9,1.0,0.0999999999999999,0.0999999999999999,1.0,0.0999999999999999,0.0999999999999999,0.0
21,uniform,0.9,0.0548482755730144,1000,0.9,1.0,0.0999999999999999,0.0999999999999999,1.0,0.0999999999999999,0.0999999999999999,0.0
31,uniform,0.9,0.0548482755730144,1000,0.9,1.0,0.0999999999999999,0.0999999999999999,1.0,0.0999999999999999,0.0999999999999999,0.0
41,uniform,0.9,0.0548482755730144,1000,0.9,1.0,0.0999999999999999,0.0999999999999999,1.0,0.0999999999999999,0.0999999999999999,0.0
51,uniform,0.9,0.0548482755730144,1000,0.9,1.0,0.0999999999999999,0.0999999999999999,1.0,0.0999999999999999,0.0999999999999999,0.0
3,uniform,0.94,0.0259807621135331,1000,0.94,0.987,0.047,0.047,0.987,0.047,0.047,0.0
5,uniform,0.94,0.0259807621135331,1000,0.94,0.999,0.059,0.059,0.999,0.059,0.059,0.0
7,uniform,0.94,0.0259807621135331,1000,0.94,1.0,0.06,0.06,1.0,0.06,0.06,0.0
9,uniform,0.94,0.0259807621135331,1000,0.94,1.0,0.06,0.06,1.0,0.06,0.06,0.0
