voters,mean,std,smr,mino-d,n-t-m-d,majo-t,mino-t,expert,min-coll
3,Lower,Lower,0.631,0.369,0.0,0.369,0.369,0.369,1.0
3,Lower,Medium,0.426,0.574,0.0,0.574,0.574,0.574,1.0
3,Lower,Upper,0.369,0.631,0.0,0.631,0.631,0.631,1.0
3,Medium,Lower,0.998,0.002,0.0,0.002,0.002,0.002,1.0
3,Medium,Medium,0.834,0.166,0.0,0.166,0.166,0.166,1.0
3,Medium,Upper,0.606,0.394,0.0,0.394,0.394,0.394,1.0
3,Upper,Lower,0.97,0.03,0.0,0.03,0.03,0.03,1.0
3,Upper,Medium,0.864,0.136,0.0,0.136,0.136,0.136,1.0
3,Upper,Upper,0.751,0.249,0.0,0.249,0.249,0.249,1.0
5,Lower,Lower,0.247,0.753,0.696,0.304,0.057,0.057,0.515
5,Lower,Medium,0.051,0.949,0.859,0.476,0.091,0.091,0.538
5,Lower,Upper,0.034,0.966,0.834,0.525,0.131,0.131,0.564
5,Medium,Lower,0.955,0.045,0.045,0.001,0.0,0.0,0.649
5,Medium,Medium,0.391,0.609,0.607,0.092,0.002,0.002,0.689
5,Medium,Upper,0.123,0.877,0.839,0.284,0.038,0.038,0.73
5,Upper,Lower,0.798,0.202,0.202,0.014,0.0,0.0,0.928
5,Upper,Medium,0.432,0.568,0.566,0.058,0.002,0.002,0.926
5,Upper,Upper,0.239,0.761,0.755,0.123,0.007,0.007,0.908
7,Lower,Lower,0.083,0.917,0.902,0.165,0.015,0.008,0.278
7,Lower,Medium,0.003,0.997,0.973,0.272,0.024,0.011,0.296
7,Lower,Upper,0.001,0.999,0.959,0.32,0.04,0.024,0.342
7,Medium,Lower,0.79,0.21,0.21,0.0,0.0,0.0,0.484
7,Medium,Medium,0.091,0.909,0.909,0.024,0.0,0.0,0.528
7,Medium,Upper,0.011,0.989,0.982,0.107,0.007,0.006,0.583
7,Upper,Lower,0.514,0.486,0.486,0.001,0.0,0.0,0.887
7,Upper,Medium,0.1,0.9,0.9,0.005,0.0,0.0,0.885
7,Upper,Upper,0.034,0.966,0.966,0.021,0.0,0.0,0.857
9,Lower,Lower,0.022,0.978,0.977,0.077,0.001,0.001,0.15
9,Lower,Medium,0.0,1.0,0.998,0.127,0.002,0.001,0.185
9,Lower,Upper,0.0,1.0,0.994,0.156,0.006,0.005,0.212
9,Medium,Lower,0.571,0.429,0.429,0.0,0.0,0.0,0.367
9,Medium,Medium,0.013,0.987,0.987,0.004,0.0,0.0,0.429
9,Medium,Upper,0.001,0.999,0.999,0.034,0.001,0.001,0.488
9,Upper,Lower,0.285,0.715,0.715,0.0,0.0,0.0,0.86
9,Upper,Medium,0.014,0.986,0.986,0.0,0.0,0.0,0.85
9,Upper,Upper,0.003,0.997,0.997,0.001,0.0,0.0,0.818
11,Lower,Lower,0.006,0.994,0.994,0.028,0.0,0.0,0.077
11,Lower,Medium,0.0,1.0,1.0,0.05,0.0,0.0,0.108
11,Lower,Upper,0.0,1.0,0.999,0.059,0.001,0.001,0.144
11,Medium,Lower,0.371,0.629,0.629,0.0,0.0,0.0,0.302
11,Medium,Medium,0.001,0.999,0.999,0.001,0.0,0.0,0.35
11,Medium,Upper,0.0,1.0,1.0,0.01,0.0,0.0,0.413
11,Upper,Lower,0.146,0.854,0.854,0.0,0.0,0.0,0.829
11,Upper,Medium,0.001,0.999,0.999,0.0,0.0,0.0,0.814
11,Upper,Upper,0.0,1.0,1.0,0.0,0.0,0.0,0.774
21,Lower,Lower,0.0,1.0,1.0,0.0,0.0,0.0,0.005
21,Lower,Medium,0.0,1.0,1.0,0.0,0.0,0.0,0.008
21,Lower,Upper,0.0,1.0,1.0,0.0,0.0,0.0,0.019
21,Medium,Lower,0.004,0.996,0.996,0.0,0.0,0.0,0.085
21,Medium,Medium,0.0,1.0,1.0,0.0,0.0,0.0,0.131
21,Medium,Upper,0.0,1.0,1.0,0.0,0.0,0.0,0.172
21,Upper,Lower,0.001,0.999,0.999,0.0,0.0,0.0,0.696
21,Upper,Medium,0.0,1.0,1.0,0.0,0.0,0.0,0.673
21,Upper,Upper,0.0,1.0,1.0,0.0,0.0,0.0,0.603
31,Lower,Lower,0.0,1.0,1.0,,0.0,0.0,0.0
31,Lower,Medium,0.0,1.0,1.0,,0.0,0.0,0.001
31,Lower,Upper,0.0,1.0,1.0,,0.0,0.0,0.003
31,Medium,Lower,0.0,1.0,1.0,,0.0,0.0,0.027
31,Medium,Medium,0.0,1.0,1.0,,0.0,0.0,0.05
31,Medium,Upper,0.0,1.0,1.0,,0.0,0.0,0.078
31,Upper,Lower,0.0,1.0,1.0,,0.0,0.0,0.599
31,Upper,Medium,0.0,1.0,1.0,,0.0,0.0,0.554
31,Upper,Upper,0.0,1.0,1.0,,0.0,0.0,0.48
41,Lower,Lower,0.0,1.0,1.0,,0.0,0.0,0.0
41,Lower,Medium,0.0,1.0,1.0,,0.0,0.0,0.0
41,Lower,Upper,0.0,1.0,1.0,,0.0,0.0,0.001
41,Medium,Lower,0.0,1.0,1.0,,0.0,0.0,0.01
41,Medium,Medium,0.0,1.0,1.0,,0.0,0.0,0.019
41,Medium,Upper,0.0,1.0,1.0,,0.0,0.0,0.036
41,Upper,Lower,0.0,1.0,1.0,,0.0,0.0,0.52
41,Upper,Medium,0.0,1.0,1.0,,0.0,0.0,0.467
41,Upper,Upper,0.0,1.0,1.0,,0.0,0.0,0.368
51,Lower,Lower,0.0,1.0,1.0,,0.0,0.0,0.0
51,Lower,Medium,0.0,1.0,1.0,,0.0,0.0,0.0
51,Lower,Upper,0.0,1.0,1.0,,0.0,0.0,0.0
51,Medium,Lower,0.0,1.0,1.0,,0.0,0.0,0.004
51,Medium,Medium,0.0,1.0,1.0,,0.0,0.0,0.009
51,Medium,Upper,0.0,1.0,1.0,,0.0,0.0,0.018
51,Upper,Lower,0.0,1.0,1.0,,0.0,0.0,0.454
51,Upper,Medium,0.0,1.0,1.0,,0.0,0.0,0.383
51,Upper,Upper,0.0,1.0,1.0,,0.0,0.0,0.297
