iterations,voters,mean,mean_bucket,std,std_bucket,simple_majority_optimal,minority_decisiveness_optimal,non_tyrannic_minority_decisiveness_optimal,majority_tyranny_optimal,minority_tyranny_optimal,expert_tyranny_optimal,minority_colluding,optimal_correct,majority_correct,expert_correct,compromise_minority_correct,compromose_strongmajority_correct,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal
1000,3,0.5,,0.02,,0.357,0.643,0,0.643,0.643,0.643,1,0.528,0.527,0.519,0.528,0.528,0.839,0.839,1,0.839,1
1000,3,0.5,,0.03,,0.351,0.649,0,0.649,0.649,0.649,1,0.516,0.532,0.529,0.516,0.516,0.826,0.826,1,0.826,1
1000,3,0.5,,0.04,,0.345,0.655,0,0.655,0.655,0.655,1,0.565,0.551,0.56,0.565,0.565,0.848,0.848,1,0.848,1
1000,3,0.5,,0.06,,0.318,0.682,0,0.682,0.682,0.682,1,0.613,0.589,0.61,0.613,0.613,0.854,0.854,1,0.854,1
1000,3,0.5,,0.07,,0.357,0.643,0,0.643,0.643,0.643,1,0.606,0.585,0.592,0.606,0.606,0.837,0.837,1,0.837,1
1000,3,0.5,,0.08,,0.331,0.669,0,0.669,0.669,0.669,1,0.621,0.577,0.608,0.621,0.621,0.818,0.818,1,0.818,1
1000,3,0.5,,0.1,,0.339,0.661,0,0.661,0.661,0.661,1,0.637,0.619,0.632,0.637,0.637,0.838,0.838,1,0.838,1
1000,3,0.5,,0.11,,0.326,0.674,0,0.674,0.674,0.674,1,0.672,0.638,0.658,0.672,0.672,0.842,0.842,1,0.842,1
1000,3,0.5,,0.12,,0.311,0.689,0,0.689,0.689,0.689,1,0.665,0.663,0.661,0.665,0.665,0.85,0.85,1,0.85,1
1000,3,0.55,,0.02,,0.783,0.217,0,0.217,0.217,0.217,1,0.578,0.582,0.574,0.578,0.578,0.954,0.954,1,0.954,1
1000,3,0.55,,0.03,,0.624,0.376,0,0.376,0.376,0.376,1,0.596,0.593,0.594,0.596,0.596,0.895,0.895,1,0.895,1
1000,3,0.55,,0.04,,0.519,0.481,0,0.481,0.481,0.481,1,0.587,0.573,0.588,0.587,0.587,0.878,0.878,1,0.878,1
1000,3,0.55,,0.06,,0.4,0.6,0,0.6,0.6,0.6,1,0.646,0.631,0.63,0.646,0.646,0.853,0.853,1,0.853,1
1000,3,0.55,,0.07,,0.423,0.577,0,0.577,0.577,0.577,1,0.631,0.629,0.611,0.631,0.631,0.866,0.866,1,0.866,1
1000,3,0.55,,0.08,,0.403,0.597,0,0.597,0.597,0.597,1,0.659,0.645,0.643,0.659,0.659,0.834,0.834,1,0.834,1
1000,3,0.55,,0.1,,0.358,0.642,0,0.642,0.642,0.642,1,0.674,0.643,0.688,0.674,0.674,0.849,0.849,1,0.849,1
1000,3,0.55,,0.11,,0.361,0.639,0,0.639,0.639,0.639,1,0.676,0.663,0.663,0.676,0.676,0.851,0.851,1,0.851,1
1000,3,0.55,,0.12,,0.366,0.634,0,0.634,0.634,0.634,1,0.696,0.69,0.684,0.696,0.696,0.868,0.868,1,0.868,1
1000,3,0.6,,0.02,,0.992,0.008,0,0.008,0.008,0.008,1,0.631,0.631,0.601,0.631,0.631,0.998,0.998,1,0.998,1
1000,3,0.6,,0.03,,0.914,0.086,0,0.086,0.086,0.086,1,0.674,0.672,0.653,0.674,0.674,0.982,0.982,1,0.982,1
1000,3,0.6,,0.04,,0.796,0.204,0,0.204,0.204,0.204,1,0.664,0.669,0.641,0.664,0.664,0.943,0.943,1,0.943,1
1000,3,0.6,,0.06,,0.581,0.419,0,0.419,0.419,0.419,1,0.678,0.659,0.655,0.678,0.678,0.907,0.907,1,0.907,1
1000,3,0.6,,0.07,,0.54,0.46,0,0.46,0.46,0.46,1,0.656,0.659,0.632,0.656,0.656,0.895,0.895,1,0.895,1
1000,3,0.6,,0.08,,0.477,0.523,0,0.523,0.523,0.523,1,0.669,0.656,0.666,0.669,0.669,0.877,0.877,1,0.877,1
1000,3,0.6,,0.1,,0.457,0.543,0,0.543,0.543,0.543,1,0.707,0.685,0.69,0.707,0.707,0.868,0.868,1,0.868,1
1000,3,0.6,,0.11,,0.422,0.578,0,0.578,0.578,0.578,1,0.733,0.706,0.718,0.733,0.733,0.881,0.881,1,0.881,1
1000,3,0.6,,0.12,,0.379,0.621,0,0.621,0.621,0.621,1,0.731,0.7,0.722,0.731,0.731,0.863,0.863,1,0.863,1
1000,3,0.7,,0.02,,1,0,0,0,0,0,1,0.759,0.759,0.703,0.759,0.759,1,1,1,1,1
1000,3,0.7,,0.03,,0.999,0.001,0,0.001,0.001,0.001,1,0.76,0.759,0.716,0.76,0.76,0.999,0.999,1,0.999,1
1000,3,0.7,,0.04,,0.983,0.017,0,0.017,0.017,0.017,1,0.768,0.767,0.715,0.768,0.768,0.997,0.997,1,0.997,1
1000,3,0.7,,0.06,,0.86,0.14,0,0.14,0.14,0.14,1,0.78,0.772,0.736,0.78,0.78,0.97,0.97,1,0.97,1
1000,3,0.7,,0.07,,0.787,0.213,0,0.213,0.213,0.213,1,0.794,0.787,0.738,0.794,0.794,0.967,0.967,1,0.967,1
1000,3,0.7,,0.08,,0.696,0.304,0,0.304,0.304,0.304,1,0.804,0.789,0.782,0.804,0.804,0.959,0.959,1,0.959,1
1000,3,0.7,,0.1,,0.591,0.409,0,0.409,0.409,0.409,1,0.808,0.789,0.78,0.808,0.808,0.933,0.933,1,0.933,1
1000,3,0.7,,0.11,,0.547,0.453,0,0.453,0.453,0.453,1,0.812,0.788,0.782,0.812,0.812,0.916,0.916,1,0.916,1
1000,3,0.7,,0.12,,0.493,0.507,0,0.507,0.507,0.507,1,0.822,0.786,0.801,0.822,0.822,0.906,0.906,1,0.906,1
1000,3,0.75,,0.02,,1,0,0,0,0,0,1,0.848,0.848,0.763,0.848,0.848,1,1,1,1,1
1000,3,0.75,,0.03,,1,0,0,0,0,0,1,0.837,0.837,0.776,0.837,0.837,1,1,1,1,1
1000,3,0.75,,0.04,,0.997,0.003,0,0.003,0.003,0.003,1,0.841,0.84,0.79,0.841,0.841,0.999,0.999,1,0.999,1
1000,3,0.75,,0.06,,0.914,0.086,0,0.086,0.086,0.086,1,0.848,0.852,0.785,0.848,0.848,0.98,0.98,1,0.98,1
1000,3,0.75,,0.07,,0.855,0.145,0,0.145,0.145,0.145,1,0.856,0.848,0.807,0.856,0.856,0.98,0.98,1,0.98,1
1000,3,0.75,,0.08,,0.77,0.23,0,0.23,0.23,0.23,1,0.859,0.859,0.838,0.859,0.859,0.968,0.968,1,0.968,1
1000,3,0.75,,0.1,,0.652,0.348,0,0.348,0.348,0.348,1,0.874,0.856,0.848,0.874,0.874,0.956,0.956,1,0.956,1
1000,3,0.75,,0.11,,0.625,0.375,0,0.375,0.375,0.375,1,0.876,0.864,0.845,0.876,0.876,0.942,0.942,1,0.942,1
1000,3,0.75,,0.12,,0.55,0.45,0,0.45,0.45,0.45,1,0.859,0.841,0.845,0.859,0.859,0.938,0.938,1,0.938,1
1000,3,0.8,,0.02,,1,0,0,0,0,0,1,0.901,0.901,0.812,0.901,0.901,1,1,1,1,1
1000,3,0.8,,0.03,,1,0,0,0,0,0,1,0.892,0.892,0.821,0.892,0.892,1,1,1,1,1
1000,3,0.8,,0.04,,0.999,0.001,0,0.001,0.001,0.001,1,0.903,0.903,0.844,0.903,0.903,1,1,1,1,1
1000,3,0.8,,0.06,,0.953,0.047,0,0.047,0.047,0.047,1,0.907,0.908,0.86,0.907,0.907,0.997,0.997,1,0.997,1
1000,3,0.8,,0.07,,0.874,0.126,0,0.126,0.126,0.126,1,0.904,0.902,0.856,0.904,0.904,0.992,0.992,1,0.992,1
1000,3,0.8,,0.08,,0.794,0.206,0,0.206,0.206,0.206,1,0.914,0.901,0.852,0.914,0.914,0.979,0.979,1,0.979,1
1000,3,0.8,,0.1,,0.723,0.277,0,0.277,0.277,0.277,1,0.89,0.89,0.864,0.89,0.89,0.974,0.974,1,0.974,1
1000,3,0.8,,0.11,,0.655,0.345,0,0.345,0.345,0.345,1,0.91,0.91,0.881,0.91,0.91,0.972,0.972,1,0.972,1
1000,3,0.8,,0.12,,0.62,0.38,0,0.38,0.38,0.38,1,0.886,0.876,0.881,0.886,0.886,0.95,0.95,1,0.95,1
1000,3,0.9,,0.02,,1,0,0,0,0,0,1,0.965,0.965,0.917,0.965,0.965,1,1,1,1,1
1000,3,0.9,,0.03,,0.99,0.01,0,0.01,0.01,0.01,1,0.956,0.958,0.906,0.956,0.956,0.998,0.998,1,0.998,1
1000,3,0.9,,0.04,,0.968,0.032,0,0.032,0.032,0.032,1,0.977,0.977,0.942,0.977,0.977,1,1,1,1,1
1000,3,0.9,,0.06,,0.885,0.115,0,0.115,0.115,0.115,1,0.974,0.97,0.934,0.974,0.974,0.996,0.996,1,0.996,1
1000,3,0.9,,0.07,,0.843,0.157,0,0.157,0.157,0.157,1,0.957,0.954,0.929,0.957,0.957,0.993,0.993,1,0.993,1
1000,3,0.9,,0.08,,0.831,0.169,0,0.169,0.169,0.169,1,0.963,0.961,0.938,0.963,0.963,0.996,0.996,1,0.996,1
1000,3,0.9,,0.1,,0.756,0.244,0,0.244,0.244,0.244,1,0.953,0.953,0.928,0.953,0.953,0.984,0.984,1,0.984,1
1000,3,0.9,,0.11,,0.736,0.264,0,0.264,0.264,0.264,1,0.953,0.952,0.938,0.953,0.953,0.983,0.983,1,0.983,1
1000,3,0.9,,0.12,,0.666,0.334,0,0.334,0.334,0.334,1,0.958,0.951,0.928,0.958,0.958,0.979,0.979,1,0.979,1
1000,3,0.95,,0.02,,0.991,0.009,0,0.009,0.009,0.009,1,0.992,0.992,0.954,0.992,0.992,1,1,1,1,1
1000,3,0.95,,0.03,,0.967,0.033,0,0.033,0.033,0.033,1,0.986,0.985,0.965,0.986,0.986,0.999,0.999,1,0.999,1
1000,3,0.95,,0.04,,0.938,0.062,0,0.062,0.062,0.062,1,0.991,0.991,0.969,0.991,0.991,1,1,1,1,1
1000,3,0.95,,0.06,,0.878,0.122,0,0.122,0.122,0.122,1,0.982,0.982,0.957,0.982,0.982,1,1,1,1,1
1000,3,0.95,,0.07,,0.855,0.145,0,0.145,0.145,0.145,1,0.974,0.975,0.964,0.974,0.974,0.999,0.999,1,0.999,1
1000,3,0.95,,0.08,,0.861,0.139,0,0.139,0.139,0.139,1,0.981,0.979,0.961,0.981,0.981,0.994,0.994,1,0.994,1
1000,3,0.95,,0.1,,0.777,0.223,0,0.223,0.223,0.223,1,0.974,0.97,0.959,0.974,0.974,0.992,0.992,1,0.992,1
1000,3,0.95,,0.11,,0.745,0.255,0,0.255,0.255,0.255,1,0.964,0.957,0.959,0.964,0.964,0.989,0.989,1,0.989,1
1000,3,0.95,,0.12,,0.732,0.268,0,0.268,0.268,0.268,1,0.967,0.96,0.951,0.967,0.967,0.981,0.981,1,0.981,1
1000,3,1,,0.02,,0.974,0.026,0,0.026,0.026,0.026,1,0.998,0.998,0.992,0.998,0.998,1,1,1,1,1
1000,3,1,,0.03,,0.96,0.04,0,0.04,0.04,0.04,1,1,1,0.992,1,1,1,1,1,1,1
1000,3,1,,0.04,,0.942,0.058,0,0.058,0.058,0.058,1,0.999,0.999,0.985,0.999,0.999,1,1,1,1,1
1000,3,1,,0.06,,0.904,0.096,0,0.096,0.096,0.096,1,0.997,0.996,0.983,0.997,0.997,0.999,0.999,1,0.999,1
1000,3,1,,0.07,,0.877,0.123,0,0.123,0.123,0.123,1,0.994,0.993,0.979,0.994,0.994,0.999,0.999,1,0.999,1
1000,3,1,,0.08,,0.845,0.155,0,0.155,0.155,0.155,1,0.988,0.987,0.978,0.988,0.988,0.999,0.999,1,0.999,1
1000,3,1,,0.1,,0.806,0.194,0,0.194,0.194,0.194,1,0.991,0.989,0.975,0.991,0.991,0.994,0.994,1,0.994,1
1000,3,1,,0.11,,0.772,0.228,0,0.228,0.228,0.228,1,0.983,0.982,0.973,0.983,0.983,0.999,0.999,1,0.999,1
1000,3,1,,0.12,,0.765,0.235,0,0.235,0.235,0.235,1,0.974,0.973,0.968,0.974,0.974,0.987,0.987,1,0.987,1
1000,5,0.5,,0.02,,0.023,0.977,0.838,0.554,0.139,0.139,0.518,0.532,0.504,0.527,0.517,0.531,0.818,0.937,0.881,0.827,0.991
1000,5,0.5,,0.03,,0.015,0.985,0.84,0.569,0.145,0.145,0.503,0.569,0.555,0.559,0.559,0.569,0.834,0.94,0.894,0.846,0.988
1000,5,0.5,,0.04,,0.031,0.969,0.803,0.557,0.166,0.166,0.531,0.573,0.568,0.566,0.564,0.573,0.819,0.94,0.879,0.831,0.988
1000,5,0.5,,0.06,,0.015,0.985,0.821,0.591,0.164,0.164,0.514,0.61,0.588,0.599,0.599,0.61,0.828,0.945,0.883,0.832,0.996
1000,5,0.5,,0.07,,0.022,0.978,0.831,0.583,0.147,0.147,0.513,0.634,0.606,0.605,0.612,0.633,0.832,0.942,0.89,0.841,0.991
1000,5,0.5,,0.08,,0.022,0.978,0.833,0.557,0.145,0.145,0.537,0.65,0.615,0.632,0.628,0.642,0.813,0.945,0.868,0.823,0.99
1000,5,0.5,,0.1,,0.023,0.977,0.826,0.564,0.151,0.151,0.546,0.666,0.672,0.641,0.673,0.668,0.818,0.943,0.875,0.828,0.99
1000,5,0.5,,0.11,,0.022,0.978,0.806,0.576,0.172,0.172,0.531,0.704,0.683,0.687,0.697,0.702,0.835,0.956,0.879,0.843,0.992
1000,5,0.5,,0.12,,0.025,0.975,0.794,0.569,0.181,0.181,0.553,0.707,0.668,0.677,0.686,0.707,0.827,0.938,0.889,0.837,0.99
1000,5,0.55,,0.02,,0.316,0.684,0.684,0.143,0,0,0.495,0.601,0.599,0.585,0.596,0.601,0.912,0.953,0.959,0.912,1
1000,5,0.55,,0.03,,0.113,0.887,0.864,0.327,0.023,0.023,0.507,0.612,0.592,0.594,0.606,0.61,0.866,0.948,0.918,0.868,0.998
1000,5,0.55,,0.04,,0.074,0.926,0.886,0.403,0.04,0.04,0.503,0.611,0.589,0.621,0.602,0.608,0.874,0.947,0.927,0.877,0.997
1000,5,0.55,,0.06,,0.04,0.96,0.878,0.455,0.082,0.082,0.519,0.631,0.605,0.619,0.619,0.63,0.862,0.954,0.908,0.867,0.995
1000,5,0.55,,0.07,,0.041,0.959,0.871,0.487,0.088,0.088,0.53,0.692,0.659,0.669,0.671,0.695,0.839,0.944,0.895,0.846,0.993
1000,5,0.55,,0.08,,0.042,0.958,0.858,0.496,0.1,0.1,0.528,0.714,0.677,0.678,0.692,0.715,0.831,0.935,0.896,0.84,0.991
1000,5,0.55,,0.1,,0.028,0.972,0.845,0.54,0.127,0.127,0.552,0.719,0.711,0.711,0.716,0.723,0.864,0.951,0.913,0.87,0.994
1000,5,0.55,,0.11,,0.033,0.967,0.826,0.513,0.141,0.141,0.571,0.737,0.71,0.701,0.727,0.737,0.865,0.949,0.916,0.869,0.996
1000,5,0.55,,0.12,,0.031,0.969,0.837,0.526,0.132,0.132,0.565,0.766,0.719,0.726,0.744,0.764,0.849,0.953,0.896,0.861,0.988
1000,5,0.6,,0.02,,0.875,0.125,0.125,0,0,0,0.491,0.671,0.675,0.629,0.671,0.671,0.99,0.99,1,0.99,1
1000,5,0.6,,0.03,,0.515,0.485,0.485,0.046,0,0,0.556,0.686,0.682,0.642,0.683,0.686,0.956,0.971,0.985,0.956,1
1000,5,0.6,,0.04,,0.261,0.739,0.737,0.141,0.002,0.002,0.532,0.703,0.704,0.664,0.704,0.703,0.921,0.954,0.967,0.921,1
1000,5,0.6,,0.06,,0.097,0.903,0.89,0.319,0.013,0.013,0.572,0.717,0.709,0.652,0.717,0.717,0.888,0.95,0.938,0.888,1
1000,5,0.6,,0.07,,0.108,0.892,0.863,0.381,0.029,0.029,0.565,0.721,0.703,0.686,0.715,0.72,0.91,0.952,0.958,0.911,0.999
1000,5,0.6,,0.08,,0.071,0.929,0.882,0.418,0.047,0.047,0.566,0.739,0.723,0.686,0.735,0.736,0.884,0.948,0.936,0.887,0.997
1000,5,0.6,,0.1,,0.058,0.942,0.856,0.47,0.086,0.086,0.582,0.755,0.709,0.716,0.732,0.752,0.854,0.943,0.911,0.861,0.993
1000,5,0.6,,0.11,,0.053,0.947,0.851,0.481,0.096,0.096,0.579,0.753,0.739,0.729,0.745,0.754,0.876,0.95,0.926,0.879,0.997
1000,5,0.6,,0.12,,0.037,0.963,0.866,0.489,0.097,0.097,0.6,0.796,0.759,0.778,0.782,0.795,0.895,0.961,0.934,0.902,0.993
1000,5,0.7,,0.02,,1,0,0,0,0,0,0.583,0.826,0.826,0.72,0.826,0.826,1,1,1,1,1
1000,5,0.7,,0.03,,0.962,0.038,0.038,0,0,0,0.571,0.849,0.849,0.731,0.849,0.849,0.998,0.998,1,0.998,1
1000,5,0.7,,0.04,,0.824,0.176,0.176,0.006,0,0,0.6,0.835,0.834,0.76,0.837,0.835,0.993,0.995,0.998,0.993,1
1000,5,0.7,,0.06,,0.408,0.592,0.592,0.077,0,0,0.624,0.837,0.832,0.784,0.839,0.837,0.951,0.967,0.984,0.951,1
1000,5,0.7,,0.07,,0.284,0.716,0.714,0.151,0.002,0.002,0.634,0.843,0.821,0.798,0.832,0.843,0.952,0.979,0.973,0.952,1
1000,5,0.7,,0.08,,0.215,0.785,0.78,0.189,0.005,0.005,0.641,0.851,0.842,0.792,0.844,0.851,0.941,0.97,0.971,0.941,1
1000,5,0.7,,0.1,,0.127,0.873,0.839,0.297,0.034,0.034,0.668,0.874,0.856,0.827,0.864,0.872,0.934,0.974,0.96,0.936,0.998
1000,5,0.7,,0.11,,0.106,0.894,0.849,0.344,0.045,0.045,0.657,0.862,0.838,0.838,0.847,0.863,0.924,0.971,0.953,0.927,0.997
1000,5,0.7,,0.12,,0.075,0.925,0.861,0.364,0.064,0.064,0.692,0.874,0.856,0.835,0.872,0.874,0.928,0.962,0.966,0.93,0.998
1000,5,0.75,,0.02,,1,0,0,0,0,0,0.65,0.9,0.9,0.761,0.9,0.9,1,1,1,1,1
1000,5,0.75,,0.03,,0.989,0.011,0.011,0,0,0,0.639,0.906,0.906,0.795,0.906,0.906,1,1,1,1,1
1000,5,0.75,,0.04,,0.887,0.113,0.113,0.002,0,0,0.659,0.911,0.91,0.776,0.911,0.911,0.995,0.995,1,0.995,1
1000,5,0.75,,0.06,,0.548,0.452,0.452,0.04,0,0,0.69,0.901,0.9,0.825,0.9,0.901,0.989,0.994,0.995,0.989,1
1000,5,0.75,,0.07,,0.386,0.614,0.614,0.079,0,0,0.667,0.922,0.907,0.835,0.918,0.922,0.979,0.989,0.99,0.979,1
1000,5,0.75,,0.08,,0.274,0.726,0.724,0.119,0.002,0.002,0.668,0.898,0.887,0.831,0.895,0.898,0.957,0.976,0.981,0.957,1
1000,5,0.75,,0.1,,0.15,0.85,0.818,0.243,0.032,0.032,0.731,0.914,0.889,0.866,0.91,0.914,0.949,0.969,0.98,0.949,1
1000,5,0.75,,0.11,,0.114,0.886,0.851,0.281,0.035,0.035,0.738,0.902,0.871,0.856,0.884,0.902,0.937,0.969,0.968,0.937,1
1000,5,0.75,,0.12,,0.096,0.904,0.855,0.317,0.049,0.049,0.743,0.925,0.901,0.869,0.918,0.925,0.942,0.971,0.971,0.942,1
1000,5,0.8,,0.02,,1,0,0,0,0,0,0.709,0.94,0.94,0.805,0.94,0.94,1,1,1,1,1
1000,5,0.8,,0.03,,0.994,0.006,0.006,0,0,0,0.725,0.935,0.935,0.84,0.935,0.935,1,1,1,1,1
1000,5,0.8,,0.04,,0.935,0.065,0.065,0.001,0,0,0.703,0.936,0.935,0.844,0.936,0.936,0.997,0.997,1,0.997,1
1000,5,0.8,,0.06,,0.604,0.396,0.396,0.034,0,0,0.747,0.94,0.933,0.869,0.937,0.94,0.989,0.994,0.995,0.989,1
1000,5,0.8,,0.07,,0.447,0.553,0.551,0.057,0.002,0.002,0.765,0.946,0.941,0.896,0.941,0.946,0.989,0.994,0.995,0.989,1
1000,5,0.8,,0.08,,0.357,0.643,0.637,0.082,0.006,0.006,0.768,0.946,0.943,0.887,0.945,0.946,0.977,0.988,0.989,0.977,1
1000,5,0.8,,0.1,,0.187,0.813,0.788,0.196,0.025,0.025,0.762,0.945,0.933,0.894,0.94,0.945,0.97,0.981,0.989,0.97,1
1000,5,0.8,,0.11,,0.15,0.85,0.827,0.241,0.023,0.023,0.785,0.941,0.939,0.888,0.939,0.941,0.97,0.984,0.986,0.972,0.998
1000,5,0.8,,0.12,,0.106,0.894,0.859,0.276,0.035,0.035,0.792,0.955,0.937,0.918,0.947,0.955,0.958,0.98,0.978,0.958,1
1000,5,0.9,,0.02,,1,0,0,0,0,0,0.843,0.991,0.991,0.931,0.991,0.991,1,1,1,1,1
1000,5,0.9,,0.03,,0.956,0.044,0.044,0.003,0,0,0.86,0.992,0.992,0.928,0.992,0.992,1,1,1,1,1
1000,5,0.9,,0.04,,0.838,0.162,0.162,0.007,0,0,0.866,0.995,0.993,0.94,0.994,0.995,0.998,0.999,0.999,0.998,1
1000,5,0.9,,0.06,,0.512,0.488,0.486,0.05,0.002,0.002,0.872,0.991,0.989,0.959,0.991,0.991,0.996,0.996,1,0.996,1
1000,5,0.9,,0.07,,0.435,0.565,0.562,0.045,0.003,0.003,0.88,0.989,0.986,0.965,0.988,0.989,0.995,0.998,0.997,0.995,1
1000,5,0.9,,0.08,,0.35,0.65,0.645,0.092,0.005,0.005,0.923,0.988,0.983,0.965,0.985,0.988,0.995,0.998,0.997,0.995,1
1000,5,0.9,,0.1,,0.253,0.747,0.741,0.126,0.006,0.006,0.885,0.987,0.985,0.958,0.988,0.987,0.994,0.997,0.997,0.994,1
1000,5,0.9,,0.11,,0.203,0.797,0.788,0.141,0.009,0.009,0.882,0.98,0.971,0.957,0.976,0.98,0.985,0.993,0.992,0.985,1
1000,5,0.9,,0.12,,0.175,0.825,0.812,0.157,0.013,0.013,0.867,0.983,0.979,0.956,0.982,0.983,0.988,0.995,0.993,0.988,1
1000,5,0.95,,0.02,,0.956,0.044,0.044,0.002,0,0,0.937,0.998,0.998,0.967,0.998,0.998,1,1,1,1,1
1000,5,0.95,,0.03,,0.765,0.235,0.235,0.016,0,0,0.938,0.999,0.999,0.974,0.999,0.999,1,1,1,1,1
1000,5,0.95,,0.04,,0.659,0.341,0.341,0.038,0,0,0.945,0.998,0.998,0.976,0.998,0.998,1,1,1,1,1
1000,5,0.95,,0.06,,0.471,0.529,0.526,0.055,0.003,0.003,0.932,0.995,0.994,0.975,0.994,0.995,0.997,0.998,0.999,0.997,1
1000,5,0.95,,0.07,,0.415,0.585,0.581,0.064,0.004,0.004,0.926,0.997,0.998,0.981,0.997,0.997,0.997,0.999,0.998,0.997,1
1000,5,0.95,,0.08,,0.374,0.626,0.624,0.067,0.002,0.002,0.929,0.998,0.995,0.971,0.998,0.998,0.997,0.997,1,0.997,1
